epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,2342.56,1.6303,1.08652,1.79283,0.63996,0.4818,0.50179,0.27543,nan,nan,nan,0.00106437,0.00106437,0.00106437
17,2915.15,1.50813,1.00497,2.71943,0.68407,0.47109,0.52084,0.30271,nan,nan,nan,0.001052,0.001052,0.001052
18,3488.6,1.35484,0.90515,1.39538,0.72416,0.48367,0.55958,0.33825,nan,nan,nan,0.00103962,0.00103962,0.00103962
19,4063.67,1.28712,0.83439,1.09015,0.75873,0.52076,0.59896,0.35975,nan,nan,nan,0.00102725,0.00102725,0.00102725
20,4636.85,1.24695,0.76624,1.02868,0.79164,0.52818,0.61852,0.38504,nan,nan,nan,0.00101488,0.00101488,0.00101488
21,5210.56,1.1957,0.74613,2.73875,0.77354,0.55157,0.62813,0.39369,nan,nan,nan,0.0010025,0.0010025,0.0010025
22,5783.92,1.17438,0.7171,1.07866,0.78372,0.56306,0.64143,0.39531,nan,nan,nan,0.000990125,0.000990125,0.000990125
23,590.596,1.77834,1.12693,5.45199,0.61814,0.45854,0.49372,0.28367,nan,nan,nan,0.00097775,0.00097775,0.00097775
24,1183,1.41135,0.89344,1.21598,0.69974,0.52619,0.56839,0.33429,nan,nan,nan,0.000965375,0.000965375,0.000965375
25,1756.64,1.26831,0.77566,2.45376,0.77527,0.5336,0.61415,0.35721,nan,nan,nan,0.000953,0.000953,0.000953
26,2329.5,1.21263,0.72231,1.05833,0.80795,0.56183,0.64783,0.40052,nan,nan,nan,0.000940625,0.000940625,0.000940625
27,2904.98,1.14443,0.6867,1.00041,0.79865,0.57919,0.65474,0.40339,nan,nan,nan,0.00092825,0.00092825,0.00092825
28,3480.38,1.11626,0.66244,0.97228,0.8038,0.5892,0.6655,0.42029,nan,nan,nan,0.000915875,0.000915875,0.000915875
29,4056.6,1.09345,0.63914,0.99487,0.77892,0.59458,0.66383,0.41604,nan,nan,nan,0.0009035,0.0009035,0.0009035
30,4630.37,1.09682,0.63012,0.97164,0.79906,0.60078,0.67195,0.42332,nan,nan,nan,0.000891125,0.000891125,0.000891125
31,5203.76,1.06375,0.6212,1.56482,0.8214,0.59232,0.67058,0.42602,nan,nan,nan,0.00087875,0.00087875,0.00087875
32,5775.52,1.06399,0.59946,0.93166,0.81475,0.60593,0.6846,0.44124,nan,nan,nan,0.000866375,0.000866375,0.000866375
33,6346.35,1.06598,0.5988,0.94209,0.82121,0.60303,0.68302,0.43901,nan,nan,nan,0.000854,0.000854,0.000854
34,6918.99,1.04704,0.58864,0.94586,0.82632,0.6188,0.69622,0.45205,nan,nan,nan,0.000841625,0.000841625,0.000841625
35,7489.23,1.1506,0.62585,2.36135,0.83707,0.57938,0.67679,0.41844,nan,nan,nan,0.00082925,0.00082925,0.00082925
36,8064.98,1.06535,0.59354,0.93046,0.82745,0.60055,0.6877,0.43783,nan,nan,nan,0.000816875,0.000816875,0.000816875
37,8639.05,1.03724,0.58395,0.92259,0.84384,0.60092,0.6907,0.44199,nan,nan,nan,0.0008045,0.0008045,0.0008045
38,9209.56,1.01085,0.56662,0.92724,0.8265,0.6205,0.701,0.45796,nan,nan,nan,0.000792125,0.000792125,0.000792125
39,9785.22,1.01318,0.56394,0.92269,0.83551,0.61641,0.70265,0.46056,nan,nan,nan,0.00077975,0.00077975,0.00077975
40,10358.9,0.99014,0.54877,0.91915,0.84352,0.61408,0.70942,0.46864,nan,nan,nan,0.000767375,0.000767375,0.000767375
41,10930.6,1.00004,0.55371,1.40666,0.82776,0.61529,0.70202,0.45904,nan,nan,nan,0.000755,0.000755,0.000755
42,11506.1,0.98616,0.56056,0.91727,0.83252,0.62162,0.70016,0.46005,nan,nan,nan,0.000742625,0.000742625,0.000742625
43,12080.1,0.99246,0.55361,0.91234,0.82652,0.62106,0.70707,0.46856,nan,nan,nan,0.00073025,0.00073025,0.00073025
44,12653.2,0.99342,0.54491,1.22618,0.8477,0.6265,0.71327,0.46731,nan,nan,nan,0.000717875,0.000717875,0.000717875
45,13226.8,0.96444,0.53549,0.90581,0.8415,0.62352,0.70687,0.47099,nan,nan,nan,0.0007055,0.0007055,0.0007055
46,13799.6,0.96673,0.5298,0.9235,0.83957,0.61835,0.70965,0.45996,nan,nan,nan,0.000693125,0.000693125,0.000693125
47,14374.5,0.96937,0.52886,0.90346,0.85195,0.62205,0.71042,0.47042,nan,nan,nan,0.00068075,0.00068075,0.00068075
48,14948.4,0.95191,0.52312,0.90734,0.85309,0.63768,0.72259,0.4824,nan,nan,nan,0.000668375,0.000668375,0.000668375
49,15521.5,0.93897,0.51229,0.89645,0.82737,0.64795,0.72237,0.48015,nan,nan,nan,0.000656,0.000656,0.000656
50,16096.6,0.94679,0.51382,0.89038,0.83184,0.64462,0.72138,0.47888,nan,nan,nan,0.000643625,0.000643625,0.000643625
51,16669.4,0.93384,0.50366,0.89428,0.84543,0.63803,0.72184,0.47856,nan,nan,nan,0.00063125,0.00063125,0.00063125
52,17241.2,0.93995,0.50017,1.27372,0.85436,0.63082,0.72184,0.48226,nan,nan,nan,0.000618875,0.000618875,0.000618875
53,17813.7,0.94581,0.51154,0.90003,0.84217,0.63721,0.72021,0.47816,nan,nan,nan,0.0006065,0.0006065,0.0006065
54,18383.6,0.93478,0.50511,0.89299,0.84128,0.64323,0.72825,0.48892,nan,nan,nan,0.000594125,0.000594125,0.000594125
55,18957.6,0.92918,0.5062,0.89724,0.854,0.62241,0.71788,0.47014,nan,nan,nan,0.00058175,0.00058175,0.00058175
56,19529.8,0.91903,0.49133,0.88975,0.85786,0.64571,0.73207,0.48574,nan,nan,nan,0.000569375,0.000569375,0.000569375
57,20099.5,0.92244,0.488,0.89244,0.84439,0.65093,0.73275,0.49409,nan,nan,nan,0.000557,0.000557,0.000557
58,588.915,1.50463,1.59398,2.00392,0.74273,0.55283,0.58602,0.34353,nan,nan,nan,0.000544625,0.000544625,0.000544625
59,1165.47,1.10612,0.66846,0.99761,0.85115,0.58724,0.69046,0.44547,nan,nan,nan,0.00053225,0.00053225,0.00053225
60,1739.93,0.9944,0.57076,0.92911,0.84032,0.62232,0.70855,0.46988,nan,nan,nan,0.000519875,0.000519875,0.000519875
61,2254.25,0.96119,0.52766,0.91923,0.85822,0.64329,0.73037,0.48637,nan,nan,nan,0.0005075,0.0005075,0.0005075
62,2833.1,0.93341,0.50724,0.91149,0.85997,0.64707,0.73306,0.48829,nan,nan,nan,0.000495125,0.000495125,0.000495125
63,3417.18,0.91526,0.4929,0.89751,0.87112,0.64806,0.73877,0.49522,nan,nan,nan,0.00048275,0.00048275,0.00048275
64,3996.22,0.91366,0.48927,0.90514,0.85811,0.6482,0.73717,0.49829,nan,nan,nan,0.000470375,0.000470375,0.000470375
65,4575.64,0.94202,0.49702,0.8988,0.86144,0.64849,0.73815,0.49469,nan,nan,nan,0.000458,0.000458,0.000458
66,5153.74,0.91413,0.48362,0.92684,0.86624,0.63336,0.73458,0.49522,nan,nan,nan,0.000445625,0.000445625,0.000445625
67,5728.36,0.91546,0.47996,0.88154,0.85513,0.65523,0.73779,0.49696,nan,nan,nan,0.00043325,0.00043325,0.00043325
68,6301.12,0.90759,0.47777,0.89162,0.86693,0.6473,0.73762,0.50326,nan,nan,nan,0.000420875,0.000420875,0.000420875
69,6875.82,0.89338,0.47297,0.8924,0.86408,0.6418,0.73398,0.49669,nan,nan,nan,0.0004085,0.0004085,0.0004085
70,7455.85,0.89283,0.47466,1.47197,0.86676,0.63755,0.73387,0.49841,nan,nan,nan,0.000396125,0.000396125,0.000396125
71,8035.59,0.89902,0.47058,0.87611,0.8582,0.64835,0.73727,0.50092,nan,nan,nan,0.00038375,0.00038375,0.00038375
72,8612.16,0.89887,0.47271,0.88098,0.86983,0.64943,0.74,0.50351,nan,nan,nan,0.000371375,0.000371375,0.000371375
73,9184.75,0.8873,0.46452,0.87981,0.87733,0.64775,0.74173,0.50393,nan,nan,nan,0.000359,0.000359,0.000359
74,9765.19,0.89496,0.47075,0.88272,0.86141,0.65931,0.74333,0.50486,nan,nan,nan,0.000346625,0.000346625,0.000346625
75,613.456,0.88107,0.46505,0.8989,0.86258,0.65763,0.74318,0.50073,nan,nan,nan,0.00033425,0.00033425,0.00033425
76,1211.04,0.86618,0.45657,0.8938,0.85478,0.65362,0.7444,0.50948,nan,nan,nan,0.000321875,0.000321875,0.000321875
77,1784.18,0.86622,0.45432,0.93841,0.8641,0.65162,0.74443,0.50995,nan,nan,nan,0.0003095,0.0003095,0.0003095
78,2357.21,0.87038,0.45397,0.88489,0.85788,0.66608,0.74787,0.51088,nan,nan,nan,0.000297125,0.000297125,0.000297125
79,2930.62,0.86303,0.45452,0.88203,0.87357,0.65511,0.74523,0.50555,nan,nan,nan,0.00028475,0.00028475,0.00028475
80,3503.89,0.85798,0.45192,0.88231,0.87179,0.65343,0.74894,0.51158,nan,nan,nan,0.000272375,0.000272375,0.000272375
81,4100.66,0.85506,0.44958,0.8859,0.8679,0.65757,0.74596,0.51193,nan,nan,nan,0.00026,0.00026,0.00026
82,4679.47,0.87925,0.45507,0.88196,0.86859,0.65808,0.75,0.51258,nan,nan,nan,0.000247625,0.000247625,0.000247625
83,5254.62,0.86266,0.44861,0.87749,0.85808,0.64972,0.74396,0.5101,nan,nan,nan,0.00023525,0.00023525,0.00023525
84,5828.02,0.87476,0.44985,0.86595,0.87788,0.65592,0.75182,0.51311,nan,nan,nan,0.000222875,0.000222875,0.000222875
85,6400.83,0.85043,0.44365,0.87337,0.8657,0.64823,0.74389,0.5123,nan,nan,nan,0.0002105,0.0002105,0.0002105
86,6975.11,0.8464,0.44011,0.87616,0.87518,0.65724,0.74832,0.51469,nan,nan,nan,0.000198125,0.000198125,0.000198125
87,7546.52,0.84506,0.44334,0.88818,0.87211,0.65624,0.7461,0.51086,nan,nan,nan,0.00018575,0.00018575,0.00018575
88,8122.7,0.85049,0.44018,0.8662,0.87257,0.65465,0.74949,0.51572,nan,nan,nan,0.000173375,0.000173375,0.000173375
89,8698.45,0.8554,0.44283,0.87117,0.87159,0.66176,0.75231,0.51633,nan,nan,nan,0.000161,0.000161,0.000161
90,9270.81,0.8395,0.43429,0.86629,0.87211,0.66489,0.75401,0.52082,nan,nan,nan,0.000148625,0.000148625,0.000148625
91,9831.34,0.84878,0.44771,0.87673,0.85704,0.64957,0.746,0.51637,nan,nan,nan,0.00013625,0.00013625,0.00013625
92,10390.8,0.83816,0.4353,0.87316,0.87163,0.65609,0.74522,0.51022,nan,nan,nan,0.000123875,0.000123875,0.000123875
93,10954.3,0.82566,0.42598,0.87221,0.86069,0.66108,0.74298,0.51101,nan,nan,nan,0.0001115,0.0001115,0.0001115
